COLABORADOR_ID,PAR_MATR,NM_USUARIO,NOME,DS_EMAIL,ID_GERENTE,DT_ADMISSAO,LOTACAO_ID,NM_LOTACAO,DS_LOTACAO,ID_CARGO,CARGO,ID_ATIVO
26,120,U121,Cláudia Laís Silva,claudialaissilva_@raizen.com,0,01/10/92,3,DVGS,Divisão de Gestão Assistencial,1,Assistente Administrativo Assistente,0
27,77,U122,Melissa Luzia Liz Fernandes,melissaluzializfernandes_@asproplastic.com.br,0,04/04/88,8,DVGR,Divisão de Gestão de Relacionamento com o Participante,,,0
29,88,U041,Marcos  Benício Cavalcanti,marcosviniciusbeniciocavalcanti_@uniara.com.br,0,07/12/88,9,DVGP,Divisão de Gestão Previdenciária,2,Analista Pleno,1
30,118,U042,Vitor Nelson da Conceição,vvitornelsoncalebdaconceicao@aliancacadeiras.com.br,0,01/10/92,8,DVGR,Divisão de Gestão de Relacionamento com o Participante,2,Analista Pleno,1
32,95,U123,Ayla Carla Lopes,aylacarlalopesaylacarlalopes@michaelpage.com.br,0,10/10/89,9,DVGP,Divisão de Gestão Previdenciária,2,Analista Pleno,0
35,57,U124,Valentina Sônia Vieira,vvalentinamirellasoniavieira@zignani.com.br,0,03/10/83,3,DVGS,Divisão de Gestão Assistencial,2,Analista Executivo,0
36,135,U125,Carla Josefa Costa,ccarlajosefacosta@vemarbrasil.com.br,0,11/07/06,1,DVGT,Divisão de Gestão de Tecnologia da Informação,,,0
38,108,U044,Martin Luís Julio Souza,martinluisjuliosouzamartinluisjuliosouza@publiout.com.br,0,13/02/91,4,DVGA,Divisão de Gestão Administrativo-Financeira,,,0
39,50,U045,Felipe Augusto André Farias,ffelipeaugustoandrefarias@viasegbrasil.com.br,0,18/01/82,4,DVGA,Divisão de Gestão Administrativo-Financeira,,,0
42,71,U126,Adriana Isis Carolina Barbosa,adrianaisiscarolinabarbosaadrianaisiscarolinabarbosa@davimil.com.br,0,23/05/86,5,DVCI,Divisão de Controles Internos e Compliance,,,0
48,137,U128,Emily Rayssa Caldeira,emilyrayssacaldeiraemilyrayssacaldeira@odebrecht.com,1,09/04/07,2,DVGE,Divisão de Gestão Estratégica,,,0
50,142,U046,Geraldo Kauê Ribeiro,ggeraldokaueribeiro@onvale.com,1,03/03/08,8,DVGR,Divisão de Gestão de Relacionamento com o Participante,2,Analista Sênior,1
